Item,Class,Caffeine (mg)
Drip Brewed Coffee,Hot Drink,100
Percolated Coffee,Hot Drink,120
Instant Coffee,Hot Drink,90
Brewed Decaf Coffee,Hot Drink,5
Instant Decaf Coffee,Hot Drink,3
Green Tea,Hot Drink,35
Black Tea,Hot Drink,70
Hot Cocoa,Hot Drink,13
Milk Chocolate,Chocolate,6
Baking Chocolate,Chocolate,35
Candy Bar,Chocolate,25
Cola,Soft Drink,45
Dr Pepper,Soft Drink,40
Mellow Yello,Soft Drink,53
Mountain Dew,Soft Drink,54
Canned Ice Tea,Soft Drink,35
Mr Pibb,Soft Drink,41
OK Soda,Soft Drink,40
Jolt Cola,Soft Drink,72
Anacin,Medication,32
Dristan,Medication,16
Dexatrim,Medication,16
Excedrin,Medication,200
Midol,Medication,32
Nodoz,Medication,100
Vivarin,Medication,200
Vanquish,Medication,33
28 Energy Drink,Energy Drink,80
6 Hour Power,Energy Drink,125
BANG Energy Drink,Energy Drink,357
Biggby Iced Coffee,Energy Drink,192
Caffeine Energy Drink,Energy Drink,140
Cocaine Energy Drink,Energy Drink,280
Diablo Energy Drink,Energy Drink,95
Guayaki Empower Mint,Energy Drink,140
Hardcore Energize Bullet,Energy Drink,300
Java Monster,Energy Drink,188
Liquid Lightning,Energy Drink,200
Monster Energy Drink,Energy Drink,160
Neurofuel Energy Drink,Energy Drink,128
Octane Energy Drink,Energy Drink,225
Potencia Energy Drink,Energy Drink,250
Rage Inferno,Energy Drink,375
Red Bull,Energy Drink,80
Speed Energy Drink,Energy Drink,186
Ubermonster Energy Brew,Energy Drink,160
Venom Black Mamba,Energy Drink,160
Zun Energy Drink,Energy Drink,100